,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DESC,ENTRIES,EXITS,DATETIME,DAY,HOUR,WEEKDAY,PREV_DATE,PREV_ENTRIES,PREV_EXITS,TIME_DIFF,ENTRIES_DIFF,EXITS_DIFF,LATITUDE,LONGITUDE
416276,N098,R028,00-00-03,FULTON ST,2345ACJZ,IND,REGULAR,6104483,1748593,2015-08-31 19:00:00,31,19,1,2015-08-31 15:00:00,6104063,1748367,0 days 04:00:00.000000000,420,226,40.709373,-74.0083258
2224131,PTH18,R549,01-00-06,NEWARK BM BW,1,PTH,REGULAR,426836,19113,2018-09-21 21:37:07,21,21,5,2018-09-21 17:25:07,426742,19110,0 days 04:12:00.000000000,94,3,40.7126452,-74.00989799999999
2548255,R294,R052,00-00-04,WOODLAWN,4,IRT,REGULAR,7699269,797617,2018-08-26 00:00:00,26,0,7,2018-08-25 20:00:00,7699045,797596,0 days 04:00:00.000000000,224,21,40.8955885,-73.8627133
565563,B026,R230,00-05-00,NECK RD,BQ,BMT,REGULAR,377,0,2016-09-11 20:00:00,11,20,7,2016-09-11 16:00:00,377,0,0 days 04:00:00.000000000,0,0,40.595246,-73.95516099999999
1348608,N072,R012,05-00-00,34 ST-PENN STA,ACE,IND,REGULAR,50156,165265,2017-09-02 20:00:00,2,20,6,2017-09-02 16:00:00,50134,165141,0 days 04:00:00.000000000,22,124,40.751056,-73.9903102
1298920,N062,R011,01-00-00,42 ST-PORT AUTH,ACENQRS1237W,IND,REGULAR,11386733,38965701,2018-09-06 08:00:00,6,8,4,2018-09-06 04:00:00,11386376,38965353,0 days 04:00:00.000000000,357,348,40.7571387,-73.9898439
1125859,N019,R101,01-00-02,145 ST,ABCD,IND,REGULAR,18571472,8632178,2015-08-31 08:00:00,31,8,1,2015-08-31 04:00:00,18570807,8632134,0 days 04:00:00.000000000,665,44,40.826604,-73.95038339999999
2664979,R417,R222,00-05-01,PARKCHESTER,6,IRT,REGULAR,67108864,16777240,2016-09-12 13:00:00,12,13,1,2016-09-12 09:00:00,67108864,16777240,0 days 04:00:00.000000000,0,0,40.8332116,-73.8610088
1790545,N333B,R141,02-00-01,FOREST HILLS 71,EFMR,IND,REGULAR,775529,660539,2016-09-14 13:00:00,14,13,3,2016-09-14 09:00:00,775149,660358,0 days 04:00:00.000000000,380,181,40.721691,-73.844521
451815,R208,R014,03-01-01,FULTON ST,2345ACJZ,IRT,REGULAR,1339923,1542603,2016-09-21 09:00:00,21,9,3,2016-09-21 05:00:00,1339889,1542219,0 days 04:00:00.000000000,34,384,40.709373,-74.0083258
